genus,species,variety,grex,cultivar,common,water,humidity,light,temp,feed,count,notes,links,source,potting,infections,todo,cause_of_death,
Adiantum,raddianum,,,Fragrans,maidenhair fern,evenly moist,required,indirect;shade,>50,1 mo,1,Prefers lower temperatures in winter.,,gardenworks,,,,,advanced
Aglaonema,,,,Sparkling Sarah,,partly dry,preferred,indirect;shade,>60-75,1 mo,1,Avoid direct sunlight.,,logees,,,,,easy
Alocasia,infernalis,,,,jewel alocasia,surface dry,required,indirect,>60-70,2 wk,1,Excess light leads to pale leaves. Susceptible to spider mites.,,gardenworks,,,sold as 'Black Magic' but that's a colocasia with matte leaves,,advanced
Anthurium,AOS x crystallinum,,,,,surface dry,required,indirect,>65-75,1 mo,1,Tolerant of some humidity swings. Use a chunky potting mix.,,peruvian guy marketplace,,,,,advanced
Callisia,repens,,,Pink Panther,,partly dry,preferred,part;indirect,>50-70,1 mo,1,,,flora grubb,,,used to be classed as tradescantia,,
Coffea,arabica,,,,coffee plant,surface dry,preferred,full;part,>60-70,2 wk,1,Susceptible to mealy bugs and scale.,,blumen,,,,,advanced
Curio,rowleyanus,,,,"senecio, string of pearls",fully dry,,full;part;indirect,>50,2 mo,1,Ensure that crown gets some light. Allow a very slight wilt before watering to avoid root rot. Enjoys a cool winter.,,mom,,,,,advanced
Dracaena,trifasciata,,,Black Gold?,"sansevieria, snake plant",fully dry,,part;indirect;shade,>40-70,2 mo,1,Tolerates low light.,,gardenworks,,,,,easy
Dracaena,trifasciata,hahni,,,"sansevieria, snake plant",fully dry,,part;indirect;shade,>40-70,2 mo,1,Tolerates low light.,,mom,,,,,easy
Epipremnum,aureum,,,Njoy,pothos,partly dry,preferred,indirect;shade,>50-75,2 mo,1,Prefers a cooler winter.,,castro,,,,,easy
Euphorbia,pulcherrima,,,,poinsettia,partly dry,,full;part,>55-70,1 mo,3,"To rebloom, provide 14 hours of darkness and cool temps starting in October.",,various,,,,,advanced
Haworthia,cymbiformis,,,,,mostly dry,,part;indirect,>50,2 mo,2,Enjoys some direct sunlight. Prefers a cool and dry winter for compact growth.,,half moon bay,,,,,moderate
Hoya,pubicalyx?,,,,,partly dry,preferred,part;indirect;shade,>55-70,1 mo,1,"A cool, dry period in early spring can trigger flowering. Use a chunky potting mix. Susceptible to mealybugs. Do not trim flower stalks.",,marianne,,,,,easy
Maranta,leuconeura,erythroneura,,,prayer plant,surface dry,required,indirect;shade,>60-70,1 mo,1,Sensitive to drafts. Sensitive to some tap water. Loses variegation in low light.,,mom,,,,,moderate
Monstera,,,,Burle Marx Flame,,partly dry,required,part;indirect,>65-75,1 mo,1,Requires humidity for new leaves. Use a moss pole. Sensitive to some tap water.,,gardenworks,,,,,advanced
Monstera,adansonii,laniata,,,,surface dry,preferred,part;indirect;shade,>55-70,2 wk,1,Grows larger leaves when climbing.,,logees,,,sold as Friedrichsthalii but that name may be outdated ,,moderate
Monstera,deliciosa,,,Thai Constellation,,partly dry,required,part;indirect,>60-70,1 mo,1,Not tolerant of low light due to variegation. Prone to root rot. Prefers consistent conditions.,,peruvian guy marketplace,,,consider silica if white parts melt ,,advanced
Nematanthus,,,,Black Gold,goldfish plant,surface dry,preferred,part;indirect;shade,>50-70,1 mo,1,Grow in open potting mix; roots should dry quickly. Cool winter rest encourages flowering.,,logees (cuttings),,,,,advanced
Nephrolepis,exaltata,,,,Boston fern,surface dry,required,indirect;shade,>50,1 mo,1,Susceptible to spider mites.,,peruvian guy marketplace,,,,,moderate
Pellaea,rotundifolia,,,,button fern,surface dry,required,part;indirect,>50,1 mo,1,,,gardenworks,,,,,advanced
Peperomia,orba,,,Princess Astrid,,partly dry,,indirect;shade,>55-70,2 mo,1,,,gardenworks,,,,,moderate
Platycerium,bifurcatum,,,,staghorn fern,mostly dry,preferred,part;indirect;shade,>35,1 mo,1,Water when just dry. Mount in spaghnum or keep in orchid mix.,,peruvian guy marketplace,,,,,easy
Pteris,cretica,,,Roeweri?,Cretan brake,evenly moist,required,part;indirect,>50,1 mo,1,,,gardenworks,,,guessed on the cultivar,,advanced
Schlumbergera,truncata,,,,Christmas cactus (red),surface dry,,part;indirect;shade,>35-70,2 wk,1,Cold induces flowering. Use a chunky potting mix.,,gardenworks,,,might prefer an epiphytic soil (bromeliad?),,easy
Schlumbergera,truncata,,,Thor Ritt,Christmas cactus,surface dry,,part;indirect;shade,>35-70,2 wk,1,Cold induces flowering. Use a chunky potting mix.,,mom,,,might prefer an epiphytic soil (bromeliad?),,easy
Scindapsus,pictus,,,Argyraeus,satin pothos,partly dry,preferred,indirect;shade,>55-70,2 mo,1,,,amazon in sf,,,,,easy
Scindapsus,pictus,,,Exotica?,satin pothos,partly dry,preferred,indirect;shade,>55-70,2 mo,1,,,flora grubb,,,,,easy
Selaginella,martensii,,,Frosty,"club moss, spike moss",evenly moist,required,indirect;shade,>55-75,6 mo,1,Best in terrarium. Can survive drying. Use spaghnum or peat moss.,,home depot,,,,,advanced
Syngonium,podophyllum,,,Pink Arrow,arrowhead plant,surface dry,preferred,part;indirect;shade,>50-75,2 wk,1,Survives shade but prefers higher light due to variegation.,,gardenworks,,major aphids straight from nursery 1/26,,,easy
Alocasia,,,,Boa,,surface dry,required,full;part,>60,2 mo,0,Susceptible to spider mites.,,,,,,cold,
Alocasia,,,,Morocco,,surface dry,required,indirect,>60,2 mo,0,Susceptible to spider mites.,,,,,,low humidity,
Alocasia,,,,Stingray,,surface dry,required,full;part,>60,2 mo,0,Susceptible to spider mites.,,,,,,trauma from gecko,
Anoectochilus,chapaensis,,,,,partly dry,required,indirect;shade,>60,1 mo,0,Grow in spaghnum moss. Susceptible to root rot.,,,,,,cold?,
Asplenium,bulbiferum,,,,,surface dry,required,indirect;shade,>55,2 mo,0,,,,,,,underwatering?,
Begonia,maculata,variegata,,Wightii,,surface dry,preferred,part;indirect,>60,1 wk,0,,,,,,,low humidity,
Chamaedorea,elegans,,,,,partly dry,preferred,indirect;shade,>50-60,1 mo,0,Susceptible to spider mites.,,,,,,unknown,
Cissus,amazonica,,,,,surface dry,preferred,part;indirect;shade,>60,1 mo,0,,,,,,,trauma from gecko,
Citrus,x paradisi,,,,,surface dry,preferred,full,>40,2 wk,0,,,,,,,abandoned in move,
Coffea,arabica,,,,,surface dry,preferred,full;part,>60,2 wk,0,,,,,,,underwatering,
Cordyline,terminalis,,,Octane,,surface dry,preferred,part;indirect,>50,1 mo,0,,,,,,,unknown,
Crassula,ovata,,,Gollum,,fully dry,,full;part;indirect,>50,2 mo,0,,,,,,,unknown,
Crassula,rupestris?,,,,,fully dry,,full;part;indirect,>50,2 mo,0,,,,,,,unknown,
Dinema,polybulbon,,,,,surface dry,required,indirect,>50-60,1 wk,0,,https://travaldo.blogspot.com/2018/01/encyclia-polybulbon-care-and-culture.html,,,,,overwatering,
Dracaena,fragrans?,,,,,partly dry,preferred,part;indirect;shade,>55,2 mo,0,,,,,,,cold?,
Dracaena,marginata,,,,,partly dry,preferred,part;indirect;shade,>65,2 mo,0,,,,,,,unknown,
Edithcolea,grandis,,,,,partly dry,,full;part,>40,2 mo,0,Water very rarely in winter. Susceptible to root rot in cool conditions.,,,,,,root rot,
Jasminium,sambac,,,Belle of India,,surface dry,preferred,full,>60,1 wk,0,,,,,,,underwatering,
Maranta,leuconeura,erythroneura,,,,partly dry,required,indirect,>60,1 mo,0,,,,,,,unknown,
Musa,acuminata,,,Dwarf Cavendish,,surface dry,preferred,full,>40-60,1 wk,0,Susceptible to spider mites.,,,,,,cat urine,
Neoregelia,schultsiana,,,,,partly dry,preferred,part;indirect,>50,6 mo,0,,,,,,,crown rot,
Nepenthes,alata,,,,,surface dry,required,full;part,>50-60,6 mo,0,Prefers distilled water.,,,,,,low humidity,
Oncidium,,,Moon Shadow,Tiger Tail,,surface dry,required,indirect,>55-65,1 wk,0,Winter rest period: allow plant to just dry out between waterings. Give warm showers while growing.,https://travaldo.blogspot.com/2017/12/grow-and-care-oncidium-varicosum-orchid.html;https://travaldo.blogspot.com/2017/12/grow-and-care-oncidium-flexuosum-orchid.html,,,,,unknown,
Passiflora,edulus,,,Possum Purple,,surface dry,preferred,full,>60-65,1 mo,0,,,,,,,pests,
Persea,americana,,,,,surface dry,preferred,full;part,>35,1 wk,0,,,,,,,abandoned in move,
Philodendron,melanochrysum,,,,,surface dry,required,indirect;shade,>60,2 mo,0,Thrives when allowed to climb.,,,,,,unknown,
Philodendron,x,,,Prince of Orange,,surface dry,preferred,indirect;shade,>60,1 mo,0,,,,,,,abandoned in move,
Polyscias,fruticosa,,,,,partly dry,required,indirect,>60,2 mo,0,,,,,,,cold,
Tillandsia,paucifolia,,,,,fully dry,required,indirect,>50,1 mo,0,,,,,,,rot,
